Let's evaluate the transcript line by line according to the Index of Productive Syntax.

1. **hello there .**  
   - N1: 1 (there)
    - N2: 0  
    - N3: 0  
    - N4: 0  
    - N5: 0  
    - N6: 0  
    - N7: 0  
    - N8: 0  
    - N9: 0  
    - N10: 0  
    - N11: 0  
    - V1: 1 (do)  
    - V2: 0  
    - V3: 0  
    - V4: 0  
    - V5: 0  
    - V6: 0  
    - V7: 0  
    - V8: 0  
    - V9: 0  
    - V10: 0  
    - V11: 0  
    - V12: 0  
    - V13: 0  
    - V14: 0  
    - V15: 0  
    - V16: 0  
    - V17: 0  
    - Q1: 1  
    - Q2: 0  
    - Q3: 0  
    - Q4: 0  
    - Q5: 0  
    - Q6: 0  
    - Q7: 0  
    - Q8: 0  
    - Q9: 0  
    - Q10: 0  
    - Q11: 0  
    - S1: 0  
    - S2: 0  
    - S3: 0  
    - S4: 0  
    - S5: 0  
    - S6: 0  
    - S7: 0  
    - S8: 0  
    - S9: 0  
    - S10: 0  
    - S11: 0  
    - S12: 0  
    - S13: 0  
    - S14: 0  
    - S15: 0  
    - S16: 0  
    - S17: 0  
    - S18: 0  
    - S19: 0  
    - S20: 0  

12. **yeah .**  
    - N1: 0  
    - N2: 0  
    - N3: 0  
    - N4: 0  
    - N5: 0  
    - N6: 0  
    - N7: 0  
    - N8: 0  
    - N9: 0  
    - N10: 0  
    - N11: 0  
    - V1: 0  
    - V2: 0  
    - V3: 0  
    - V4: 0  
    - V5: 0  
    - V6: 0  
    - V7: 0  
    - V8: 0  
    - V9: 0  
    - V10: 0  
    - V11: 0  
    - V12: 0  
    - V13: 0  
    - V14: 0  
    - V15: 0  
    - V16: 0  
    - V17: 0  
    - Q1: 0  
    - Q2: 0  
    - Q3: 0  
    - Q4: 0  
    - Q5: 0  
    - Q6: 0  
    - Q7: 0  
    - Q8: 0  
    - Q9: 0  
    - Q10: 0  
    - Q11: 0  
    - S1: 0  
    - S2: 0  
    - S3: 0  
    - S4: 0  
    - S5: 0  
    - S6: 0  
    - S7: 0  
    - S8: 0  
    - S9: 0  
    - S10: 0  
    - S11: 0  
    - S12: 0  
    - S13: 0  
    - S14: 0  
    - S15: 0  
    - S16: 0  
    - S17: 0  
    - S18: 0  
    - S19: 0  
    - S20: 0  

13. **but how the names get on it ?**  
    - N1: 1 (names)  
    - N2: 0  
    - N3: 0  
    - N4: 0  
    - N5: 0  
    - N6: 0  
    - N7: 1 (names)  
    - N8: 0  
    - N9: 0  
    - N10: 0  
    - N11: 0  
    - V1: 1 (get)  
    - V2: 0  
    - V3: 0  
    - V4: 0  
    - V5: 0  
    - V6: 0  
    - V7: 0  
    - V8: 0  
    - V9: 0  
    - V10: 0  
    - V11: 0  
    - V12: 0  
    - V13: 0  
    - V14: 0  
    - V15: 0  
    - V16: 0  
    - V17: 0  
    - Q1: 1  
    - Q2: 0  
    - Q3: 0  
    - Q4: 0  
    - Q5: 0  
    - Q6: 0  
    - Q7: 0  
    - Q8: 0  
    - Q9: 0  
    - Q10: 0  
    - Q11: 0  
    - S1: 0  
    - S2: 0  
    - S3: 0  
    - S4: 0  
    - S5: 0  
    - S6: 0  
    - S7: 0  
    - S8: 0  
    - S9: 0  
    - S10: 0  
    - S11: 0  
    - S12: 0  
    - S13: 0  
    - S14: 0  
    - S15: 0  
    - S16: 0  
    - S17: 0  
    - S18: 0  
    - S19: 0  
    - S20: 0  

14. **how (.) (a)nd [?] (.) xxx are (.) you coming (.) here (.) you .**  
    - N1: 0  
    - N2: 1 (you)  
    - N3: 0  
    - N4: 0  
    - N5: 0  
    - N6: 1 (are coming)  
    - N7: 0  
    - N8: 0  
    - N9: 0  
    - N10: 0  
    - N11: 0  
    - V1: 1 (are)  
    - V2: 0  
    - V3: 0  
    - V4: 0  
    - V5: 0  
    - V6: 0  
    - V7: 0  
    - V8: 0  
    - V9: 0  
    - V10: 0  
    - V11: 0  
    - V12: 0  
    - V13: 0  
    - V14: 0  
    - V15: 0  
    - V16: 0  
    - V17: 0  
    - Q1: 0  
    - Q2: 0  
    - Q3: 0  
    - Q4: 0  
    - Q5: 0  
    - Q6: 0  
    - Q7: 0  
    - Q8: 0  
    - Q9: 0  
    - Q10: 0  
    - Q11: 0  
    - S1: 0  
    - S2: 1 (you are)  
    - S3: 0  
    - S4: 0  
    - S5: 0  
    - S6: 0  
    - S7: 0  
    - S8: 0  
    - S9: 0  
    - S10: 0  
    - S11: 0  
    - S12: 0  
    - S13: 0  
    - S14: 0  
    - S15: 0  
    - S16: 0  
    - S17: 0  
    - S18: 0  
    - S19: 0  
    - S20: 0  

15. **&-um (.) see (.) Sue (.) Sue &-um (.) Susie .**  
    - N1: 2 (Sue, Susie)  
    - N2: 0  
    - N3: 0  
    - N4: 0  
    - N5: 0  
    - N6: 0  
    - N7: 0  
    - N8: 0  
    - N9: 0  
    - N10: 0  
    - N11: 0  
    - V1: 1 (see)  
    - V2: 0  
    - V3: 0  
    - V4: 0  
    - V5: 0  
    - V6: 0  
    - V7: 0  
    - V8: 0  
    - V9: 0  
    - V10: 0  
    - V11: 0  
    - V12: 0  
    - V13: 0  
    - V14: 0  
    - V15: 0  
    - V16: 0  
    - V17: 0  
    - Q1: 0  
    - Q2: 0  
    - Q3: 0  
    - Q4: 0  
    - Q5: 0  
    - Q6: 0  
    - Q7: 0  
    - Q8: 0  
    - Q9: 0  
    - Q10: 0  
    - Q11: 0  
    - S1: 0  
    - S2: 0  
    - S3: 0  
    - S4: 0  
    - S5: 0  
    - S6: 0  
    - S7: 0  
    - S8: 0  
    - S9: 0  
    - S10: 0  
    - S11: 0  
    - S12: 0  
    - S13: 0  
    - S14: 0  
    - S15: 0  
    - S16: 0  
    - S17: 0  
    - S18: 0  
    - S19: 0  
    - S20: 0  

16. **Susie (.) yeah (.) yeah .**  
    - N1: 1 (Susie)  
    - N2: 0  
    - N3: 0  
    - N4: 0  
    - N5: 0  
    - N6: 0  
    - N7: 0  
    - N8: 0  
    - N9: 0  
    - N10: 0  
    - N11: 0  
    - V1: 0  
    - V2:
